id,starting_at,ending_at,name,teams
17361,2020-09-18,2021-05-22,2020/2021,"[3317, 1079, 510, 3321, 3543, 68, 82, 2927, 3320, 67, 277, 90, 683, 3319, 2726, 366, 794, 503]"
17420,2020-09-12,2021-05-23,2020/2021,"[78, 11, 8, 19, 42, 29, 71, 51, 21, 14, 20, 13, 10, 9, 1, 65, 18, 15, 6, 27]"
17480,2020-09-12,2021-05-23,2020/2021,"[3477, 3468, 103, 485, 36, 3457, 1099, 60, 361, 6827, 676, 83, 2975, 594, 214, 7980, 106, 13258, 459, 274]"
17488,2020-09-19,2021-05-23,2020/2021,"[2930, 563, 522, 1123, 625, 585, 345, 89, 708, 346, 113, 102, 109, 43, 37, 613, 8513, 2714, 597, 398]"
18378,2021-08-13,2022-05-22,2021/2022,"[78, 8, 19, 42, 25, 29, 71, 51, 14, 236, 20, 33, 13, 9, 1, 65, 18, 15, 6, 27]"
18444,2021-08-13,2022-05-14,2021/2022,"[3317, 1079, 510, 3321, 3543, 68, 2927, 3431, 3320, 277, 90, 683, 3319, 999, 2726, 366, 794, 503]"
18462,2021-08-13,2022-05-22,2021/2022,"[377, 3477, 3468, 103, 485, 36, 3457, 1099, 6827, 645, 676, 83, 2975, 594, 214, 7980, 106, 13258, 528, 459]"
18576,2021-08-21,2022-05-22,2021/2022,"[2930, 397, 522, 1123, 625, 585, 345, 708, 346, 7743, 267, 113, 102, 109, 43, 37, 613, 8513, 2714, 597]"
19734,2022-08-05,2023-05-28,2022/2023,"[78, 11, 8, 19, 42, 29, 71, 51, 14, 236, 52, 20, 63, 13, 9, 1, 65, 18, 15, 6]"
19744,2022-08-05,2023-05-27,2022/2023,"[3317, 1079, 510, 3321, 3543, 68, 82, 3320, 67, 277, 90, 683, 3319, 999, 2726, 366, 794, 503]"
19799,2022-08-12,2023-06-04,2022/2023,"[3477, 3468, 485, 36, 1099, 361, 6827, 645, 231, 676, 83, 594, 214, 7980, 618, 106, 13258, 528, 459, 377]"
19806,2022-08-13,2023-06-11,2022/2023,"[10722, 2930, 397, 522, 1123, 625, 345, 1628, 708, 346, 7743, 113, 109, 43, 37, 613, 7790, 8513, 2714, 597]"
21646,2023-08-11,2024-05-19,2023/2024,"[78, 11, 8, 19, 29, 115, 51, 21, 14, 236, 52, 20, 63, 13, 9, 1, 18, 15, 6, 27]"
21694,2023-08-11,2024-05-26,2023/2024,"[377, 3477, 3468, 103, 485, 2921, 36, 6827, 645, 231, 676, 83, 2975, 594, 214, 7980, 618, 106, 13258, 459]"
21795,2023-08-18,2024-05-18,2023/2024,"[1079, 510, 3321, 3543, 68, 82, 3320, 277, 90, 683, 3319, 2831, 999, 2726, 482, 366, 794, 503]"
21818,2023-08-19,2024-06-02,2023/2024,"[1628, 708, 346, 7743, 113, 102, 109, 43, 37, 4070, 613, 7790, 8513, 2714, 597, 2930, 397, 1123, 625, 585]"
