,id,sport_id,league_id,season_id,stage_id,group_id,aggregate_id,round_id,state_id,venue_id,name,starting_at,result_info,leg,details,length,placeholder,has_odds,has_premium_odds,starting_at_timestamp,formations,weatherreport,referees,events
0,371486,1,486,1914,3192,,,51610,5,3787.0,Krasnodar vs Mordovia Saransk,2012-09-21 15:00:00,Krasnodar won after full-time.,1/1,,90,False,False,False,1348239600,[],,[],[]
1,95325,1,82,215,499,,,8751,5,353.0,Nürnberg vs Eintracht Frankfurt,2012-09-21 18:30:00,Eintracht Frankfurt won after full-time.,1/1,,90,False,False,False,1348252200,"[{'id': 2563613, 'fixture_id': 95325, 'participant_id': 366, 'formation': '4-2-3-1', 'location': 'away'}, {'id': 2563696, 'fixture_id': 95325, 'participant_id': 956, 'formation': '4-2-3-1', 'location': 'home'}]",,"[{'id': 307895, 'fixture_id': 95325, 'referee_id': 48753, 'type_id': 7}, {'id': 5019015, 'fixture_id': 95325, 'referee_id': 12081, 'type_id': 9}, {'id': 5018107, 'fixture_id': 95325, 'referee_id': 15404, 'type_id': 8}, {'id': 5019005, 'fixture_id': 95325, 'referee_id': 15400, 'type_id': 6}]","[{'id': 30713013, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95325, 'player_id': 30871, 'related_player_id': None, 'period_id': 817766, 'participant_id': 366, 'player_name': 'C. Zambrano', 'addition': None, 'minute': 10, 'sort_order': 1}, {'id': 30713025, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95325, 'player_id': 29660, 'related_player_id': None, 'period_id': 817767, 'participant_id': 366, 'player_name': 'Alexander Meier', 'addition': None, 'minute': 75, 'sort_order': 1}, {'id': 30713041, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95325, 'player_id': 6230, 'related_player_id': None, 'period_id': 817767, 'participant_id': 956, 'player_name': 'Sebastian Polter\xa0', 'addition': None, 'minute': 85, 'sort_order': 1}, {'id': 30713059, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95325, 'player_id': 31124, 'related_player_id': None, 'period_id': 817767, 'participant_id': 366, 'player_name': 'Sebastian Jung', 'addition': None, 'minute': 89, 'sort_order': 1}]"
2,371883,1,486,1914,3192,,,51610,5,,Volga vs CSKA Moskva,2012-09-22 09:30:00,CSKA Moskva won after full-time.,1/1,,90,False,False,False,1348306200,[],,"[{'id': 3163107, 'fixture_id': 371883, 'referee_id': 15766, 'type_id': 9}, {'id': 3163099, 'fixture_id': 371883, 'referee_id': 12243, 'type_id': 8}, {'id': 3163116, 'fixture_id': 371883, 'referee_id': 18330, 'type_id': 6}]",[]
3,651,1,8,7,5,,,64,5,208.0,Swansea City vs Everton,2012-09-22 11:45:00,Everton won after full-time.,1/1,,90,False,False,False,1348314300,"[{'id': 2785269, 'fixture_id': 651, 'participant_id': 13, 'formation': '4-4-1-1', 'location': 'away'}, {'id': 2785241, 'fixture_id': 651, 'participant_id': 30, 'formation': '4-2-3-1', 'location': 'home'}]",,"[{'id': 1568819, 'fixture_id': 651, 'referee_id': 15242, 'type_id': 9}, {'id': 2415579, 'fixture_id': 651, 'referee_id': 13545, 'type_id': 7}, {'id': 2779349, 'fixture_id': 651, 'referee_id': 12085, 'type_id': 8}, {'id': 3209362, 'fixture_id': 651, 'referee_id': 14532, 'type_id': 6}]","[{'id': 30527643, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 651, 'player_id': 860, 'related_player_id': None, 'period_id': 666616, 'participant_id': 30, 'player_name': 'Àngel Rangel', 'addition': None, 'minute': 57, 'sort_order': 1}, {'id': 30527624, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 651, 'player_id': 813, 'related_player_id': None, 'period_id': 666615, 'participant_id': 30, 'player_name': 'Ki Sung-Yeung', 'addition': None, 'minute': 31, 'sort_order': 1}, {'id': 30527614, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 651, 'player_id': 856, 'related_player_id': None, 'period_id': 666615, 'participant_id': 30, 'player_name': 'Ashley Williams', 'addition': None, 'minute': 12, 'sort_order': 1}, {'id': 30527659, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 651, 'player_id': 285, 'related_player_id': None, 'period_id': 666616, 'participant_id': 13, 'player_name': 'Leon Osman', 'addition': None, 'minute': 71, 'sort_order': 1}, {'id': 30527650, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 651, 'player_id': 974, 'related_player_id': None, 'period_id': 666616, 'participant_id': 30, 'player_name': 'Michu', 'addition': None, 'minute': 65, 'sort_order': 1}, {'id': 75541949, 'type_id': 21, 'sub_type_id': None, 'fixture_id': 651, 'player_id': 818, 'related_player_id': None, 'period_id': 666616, 'participant_id': 30, 'player_name': 'Nathan Dyer', 'addition': None, 'minute': 58, 'sort_order': 1}, {'id': 30527631, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 651, 'player_id': 818, 'related_player_id': None, 'period_id': 666616, 'participant_id': 30, 'player_name': 'Nathan Dyer', 'addition': None, 'minute': 55, 'sort_order': 1}]"
4,372339,1,486,1914,3192,,,51610,5,1480.0,Dinamo Moskva vs Amkar Perm',2012-09-22 11:45:00,Dinamo Moskva won after full-time.,1/1,,90,False,False,False,1348314300,"[{'id': 437655, 'fixture_id': 372339, 'participant_id': 2661, 'formation': '4-1-4-1', 'location': 'away'}, {'id': 437656, 'fixture_id': 372339, 'participant_id': 2468, 'formation': '4-4-2', 'location': 'home'}]",,"[{'id': 3163127, 'fixture_id': 372339, 'referee_id': 13544, 'type_id': 6}, {'id': 3163106, 'fixture_id': 372339, 'referee_id': 16951, 'type_id': 8}, {'id': 3163120, 'fixture_id': 372339, 'referee_id': 70276, 'type_id': 9}]",[]
5,95336,1,82,215,499,,,8751,5,2138.0,Schalke 04 vs Bayern München,2012-09-22 13:30:00,FC Bayern München won after full-time.,1/1,,90,False,False,False,1348320600,"[{'id': 2563071, 'fixture_id': 95336, 'participant_id': 503, 'formation': '4-2-3-1', 'location': 'away'}, {'id': 2563042, 'fixture_id': 95336, 'participant_id': 67, 'formation': '4-2-3-1', 'location': 'home'}]",,"[{'id': 198137, 'fixture_id': 95336, 'referee_id': 48702, 'type_id': 6}, {'id': 670679, 'fixture_id': 95336, 'referee_id': 17354, 'type_id': 9}]","[{'id': 30713162, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95336, 'player_id': 1920, 'related_player_id': None, 'period_id': 817789, 'participant_id': 67, 'player_name': 'Joel Matip', 'addition': None, 'minute': 79, 'sort_order': 1}, {'id': 30713141, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95336, 'player_id': 1191, 'related_player_id': None, 'period_id': 817789, 'participant_id': 67, 'player_name': 'Juanjo González', 'addition': None, 'minute': 76, 'sort_order': 1}]"
6,95344,1,82,215,499,,,8751,5,80.0,Wolfsburg vs Greuther Fürth,2012-09-22 13:30:00,Game ended in draw.,1/1,,90,False,False,False,1348320600,"[{'id': 2562887, 'fixture_id': 95344, 'participant_id': 3431, 'formation': '4-4-2', 'location': 'away'}, {'id': 2562833, 'fixture_id': 95344, 'participant_id': 510, 'formation': '4-2-3-1', 'location': 'home'}]",,"[{'id': 54354, 'fixture_id': 95344, 'referee_id': 15396, 'type_id': 6}, {'id': 307454, 'fixture_id': 95344, 'referee_id': 48735, 'type_id': 7}, {'id': 474342, 'fixture_id': 95344, 'referee_id': 48745, 'type_id': 8}, {'id': 3194339, 'fixture_id': 95344, 'referee_id': 17226, 'type_id': 9}]","[{'id': 30713200, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95344, 'player_id': 8008, 'related_player_id': None, 'period_id': 817805, 'participant_id': 3431, 'player_name': 'T. Petsos', 'addition': None, 'minute': 73, 'sort_order': 1}, {'id': 30713194, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95344, 'player_id': 30263, 'related_player_id': None, 'period_id': 817805, 'participant_id': 3431, 'player_name': 'Mërgim Mavraj', 'addition': None, 'minute': 64, 'sort_order': 1}]"
7,95353,1,82,215,499,,,8751,5,2103.0,Mainz 05 vs Augsburg,2012-09-22 13:30:00,FSV Mainz 05 won after full-time.,1/1,,90,False,False,False,1348320600,"[{'id': 2562573, 'fixture_id': 95353, 'participant_id': 90, 'formation': '4-2-3-1', 'location': 'away'}, {'id': 2562536, 'fixture_id': 95353, 'participant_id': 794, 'formation': '4-4-2', 'location': 'home'}]",,"[{'id': 199327, 'fixture_id': 95353, 'referee_id': 48713, 'type_id': 6}, {'id': 474349, 'fixture_id': 95353, 'referee_id': 12076, 'type_id': 8}, {'id': 670692, 'fixture_id': 95353, 'referee_id': 17356, 'type_id': 9}]","[{'id': 30713303, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95353, 'player_id': 23175, 'related_player_id': None, 'period_id': 817822, 'participant_id': 90, 'player_name': 'Marcel De Jong', 'addition': None, 'minute': 44, 'sort_order': 1}, {'id': 30713291, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95353, 'player_id': 31468, 'related_player_id': None, 'period_id': 817822, 'participant_id': 90, 'player_name': 'Kevin Vogt', 'addition': None, 'minute': 19, 'sort_order': 1}]"
8,95363,1,82,215,499,,,8751,5,2076.0,Hamburger SV vs Borussia Dortmund,2012-09-22 13:30:00,Hamburger SV won after full-time.,1/1,,90,False,False,False,1348320600,"[{'id': 2802575, 'fixture_id': 95363, 'participant_id': 68, 'formation': '4-2-3-1', 'location': 'away'}, {'id': 2802588, 'fixture_id': 95363, 'participant_id': 2708, 'formation': '4-2-3-1', 'location': 'home'}]",,"[{'id': 198722, 'fixture_id': 95363, 'referee_id': 48708, 'type_id': 6}, {'id': 427254, 'fixture_id': 95363, 'referee_id': 48740, 'type_id': 7}, {'id': 474356, 'fixture_id': 95363, 'referee_id': 12073, 'type_id': 8}, {'id': 1990490, 'fixture_id': 95363, 'referee_id': 12889, 'type_id': 9}]","[{'id': 30713489, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95363, 'player_id': 30561, 'related_player_id': None, 'period_id': 817843, 'participant_id': 2708, 'player_name': 'René Adler', 'addition': None, 'minute': 90, 'sort_order': 1}, {'id': 30713464, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95363, 'player_id': 1282, 'related_player_id': None, 'period_id': 817842, 'participant_id': 2708, 'player_name': 'Rafael van der Vaart', 'addition': None, 'minute': 23, 'sort_order': 1}, {'id': 30713476, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95363, 'player_id': 31670, 'related_player_id': None, 'period_id': 817842, 'participant_id': 2708, 'player_name': 'Milan Badelj', 'addition': None, 'minute': 37, 'sort_order': 1}, {'id': 30713510, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95363, 'player_id': 30488, 'related_player_id': None, 'period_id': 817843, 'participant_id': 68, 'player_name': 'Marcel Schmelzer', 'addition': None, 'minute': 90, 'sort_order': 1}]"
9,95373,1,82,215,499,,,8751,5,427.0,Fortuna Düsseldorf vs Freiburg,2012-09-22 13:30:00,Game ended in draw.,1/1,,90,False,False,False,1348320600,"[{'id': 2561690, 'fixture_id': 95373, 'participant_id': 3543, 'formation': '4-4-2', 'location': 'away'}, {'id': 2561706, 'fixture_id': 95373, 'participant_id': 1092, 'formation': '4-4-1-1', 'location': 'home'}]",,"[{'id': 474364, 'fixture_id': 95373, 'referee_id': 48747, 'type_id': 8}, {'id': 1582329, 'fixture_id': 95373, 'referee_id': 14473, 'type_id': 6}, {'id': 2514214, 'fixture_id': 95373, 'referee_id': 16993, 'type_id': 9}, {'id': 3194328, 'fixture_id': 95373, 'referee_id': 15402, 'type_id': 7}]","[{'id': 75605250, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95373, 'player_id': 30942, 'related_player_id': None, 'period_id': 817863, 'participant_id': 3543, 'player_name': 'Johannes Flum', 'addition': None, 'minute': 90, 'sort_order': 1}, {'id': 30713460, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95373, 'player_id': 29815, 'related_player_id': None, 'period_id': 817863, 'participant_id': 1092, 'player_name': 'Tobias Levels', 'addition': None, 'minute': 49, 'sort_order': 1}, {'id': 30713475, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95373, 'player_id': 31196, 'related_player_id': None, 'period_id': 817863, 'participant_id': 1092, 'player_name': 'Axel Bellinghausen', 'addition': None, 'minute': 90, 'sort_order': 1}, {'id': 30713487, 'type_id': 19, 'sub_type_id': None, 'fixture_id': 95373, 'player_id': 30962, 'related_player_id': None, 'period_id': 817863, 'participant_id': 3543, 'player_name': 'Mensur Mujdza', 'addition': None, 'minute': 90, 'sort_order': 1}]"
