,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,4193968,Levante vs Villarreal,564,8442,2015.0,4-4-2,4-3-3,348
1,4193978,Real Sociedad vs Villarreal,564,8442,133.0,4-4-2,4-3-3,85
2,4193988,Villarreal vs Real Betis,564,8442,2028.0,4-3-3,4-4-2,293
3,4194004,Deportivo Alavés vs Villarreal,564,8442,1747.0,4-4-2,4-4-2,353
4,4194013,Villarreal vs Espanyol,564,8442,2028.0,4-4-1-1,4-4-2,331
5,4194024,Getafe vs Villarreal,564,8442,9351.0,4-4-2,4-4-2,510
6,4194036,Villarreal vs SD Eibar,564,8442,2028.0,4-4-2,4-3-1-2,523
7,4194038,Girona vs Villarreal,564,8442,9345.0,4-3-1-2,3-4-2-1,77
8,4194050,Villarreal vs Las Palmas,564,8442,2028.0,4-3-3,4-3-1-2,45
9,6980127,Ponferradina vs Villarreal,570,8706,5025.0,4-3-1-2,3-3-3-1,15906
10,4194062,Atlético Madrid vs Villarreal,564,8442,,4-3-1-2,4-4-2,32
11,4194074,Villarreal vs Málaga,564,8442,2028.0,4-2-3-1,4-3-1-2,16862
12,4194080,Athletic Club vs Villarreal,564,8442,9162.0,4-3-1-2,4-2-3-1,293
13,4194090,Villarreal vs Sevilla,564,8442,2028.0,4-2-3-1,4-3-1-2,17909
15,6980128,Villarreal vs Ponferradina,570,8706,2028.0,3-3-3-1,4-4-2,18789
16,4194105,Leganés vs Villarreal,564,8442,293.0,4-3-1-2,4-4-1-1,15307
17,4194112,Villarreal vs Barcelona,564,8442,2028.0,4-4-2,4-5-1,18637
18,4194119,Celta de Vigo vs Villarreal,564,8442,9239.0,4-2-3-1,4-3-3,16862
19,4194130,Valencia vs Villarreal,564,8442,9240.0,4-3-1-2,4-4-2,17316
20,8714781,Leganés vs Villarreal,570,8706,293.0,4-3-1-2,4-2-3-1,18771
21,4194140,Villarreal vs Deportivo La Coruña,564,8442,2028.0,4-3-3,4-3-1-2,19062
22,8714782,Villarreal vs Leganés,570,8706,2028.0,4-2-3-1,4-3-1-2,20562
23,4194153,Real Madrid vs Villarreal,564,8442,2020.0,4-4-1-1,4-3-1-2,15274
