,id,sport_id,league_id,tie_breaker_rule_id,name,finished,pending,is_current,starting_at,ending_at,standings_recalculated_at,games_in_current_week
0,19734,1,8,1526,2022/2023,True,False,False,2022-08-05,2023-05-28,2023-11-30 15:26:55,False
1,19744,1,82,171,2022/2023,True,False,False,2022-08-05,2023-05-27,2023-11-30 15:44:34,False
2,19799,1,564,170,2022/2023,True,False,False,2022-08-12,2023-06-04,2023-08-09 14:53:21,False
3,19806,1,384,170,2022/2023,True,False,False,2022-08-13,2023-06-11,2023-11-30 15:27:30,False
4,21646,1,8,171,2023/2024,True,False,False,2023-08-11,2024-05-19,2024-05-19 17:01:55,False
5,21694,1,564,170,2023/2024,True,False,False,2023-08-11,2024-05-26,2024-05-26 21:06:57,False
6,21795,1,82,1526,2023/2024,True,False,False,2023-08-18,2024-05-18,2024-05-18 15:36:03,False
7,21818,1,384,170,2023/2024,True,False,False,2023-08-19,2024-06-02,2024-06-03 00:06:31,False
8,17361,1,82,169,2020/2021,True,False,False,2020-09-18,2021-05-22,2023-05-24 09:17:46,False
9,17420,1,8,1526,2020/2021,True,False,False,2020-09-12,2021-05-23,2024-08-09 12:28:17,False
10,17480,1,564,169,2020/2021,True,False,False,2020-09-12,2021-05-23,2023-05-24 09:18:13,False
11,17488,1,384,169,2020/2021,True,False,False,2020-09-19,2021-05-23,2023-05-24 09:18:17,False
12,18378,1,8,1526,2021/2022,True,False,False,2021-08-13,2022-05-22,2024-08-06 11:11:26,False
13,18444,1,82,169,2021/2022,True,False,False,2021-08-13,2022-05-14,2024-08-13 08:52:36,False
14,18462,1,564,169,2021/2022,True,False,False,2021-08-13,2022-05-22,2023-05-24 09:21:57,False
15,18576,1,384,169,2021/2022,True,False,False,2021-08-21,2022-05-22,2023-05-24 09:22:35,False
16,12962,1,8,1526,2018/2019,True,False,False,2018-08-10,2019-05-12,2023-05-24 09:09:00,False
17,13005,1,82,169,2018/2019,True,False,False,2018-08-24,2019-05-18,2023-05-24 09:09:14,False
18,13133,1,564,169,2018/2019,True,False,False,2018-08-17,2019-05-19,2023-05-24 09:09:45,False
19,13158,1,384,169,2018/2019,True,False,False,2018-08-18,2019-05-26,2023-05-24 09:09:52,False
20,16036,1,8,1526,2019/2020,True,False,False,2019-08-09,2020-07-26,2023-05-24 09:12:55,False
21,16264,1,82,171,2019/2020,True,False,False,2019-08-16,2020-06-27,2023-05-24 09:13:26,False
22,16326,1,564,170,2019/2020,True,False,False,2019-08-16,2020-07-19,2023-05-24 09:13:45,False
23,16415,1,384,170,2019/2020,True,False,False,2019-08-24,2020-08-02,2023-05-24 09:14:12,False
24,13,1,8,1526,2016/2017,True,False,False,2016-08-13,2017-05-21,2023-05-24 08:28:21,False
25,219,1,82,169,2016/2017,True,False,False,2016-08-26,2017-05-20,2023-05-24 08:34:38,False
26,802,1,384,169,2016/2017,True,False,False,2016-08-20,2017-05-28,2023-11-30 13:51:06,False
27,853,1,564,169,2016/2017,True,False,False,2016-08-19,2017-05-21,2023-11-30 13:51:34,False
28,6397,1,8,1526,2017/2018,True,False,False,2017-08-11,2018-05-13,2023-11-30 14:36:10,False
29,8026,1,82,169,2017/2018,True,False,False,2017-08-18,2018-05-12,2023-11-30 14:36:54,False
30,8442,1,564,169,2017/2018,True,False,False,2017-08-18,2018-05-20,2023-11-30 14:38:03,False
31,8557,1,384,169,2017/2018,True,False,False,2017-08-19,2018-05-20,2023-11-30 14:38:54,False
32,10,1,8,1526,2015/2016,True,False,False,2015-08-08,2016-05-17,2023-05-24 08:28:17,False
33,12,1,8,1526,2014/2015,True,False,False,2014-08-16,2015-05-24,2023-05-24 08:28:20,False
34,217,1,82,169,2014/2015,True,False,False,2014-08-22,2015-05-23,2023-05-24 08:34:37,False
35,218,1,82,169,2015/2016,True,False,False,2015-08-14,2016-05-14,2023-05-24 08:34:37,False
36,1583,1,384,169,2014/2015,True,False,False,2014-08-30,2015-05-31,2024-10-09 14:12:15,False
37,1584,1,384,169,2015/2016,True,False,False,2015-08-22,2016-05-15,2023-11-30 13:58:02,False
38,2061,1,564,169,2014/2015,True,False,False,2014-08-23,2015-05-23,2023-11-30 14:02:22,False
39,2063,1,564,169,2015/2016,True,False,False,2015-08-21,2016-05-15,2023-11-30 14:02:29,False
40,3,1,8,1526,2013/2014,True,False,False,2013-08-17,2014-05-11,2023-05-24 08:28:09,False
41,7,1,8,1526,2012/2013,True,False,False,2012-08-18,2013-05-19,2023-05-24 08:28:13,False
42,215,1,82,169,2012/2013,True,False,False,2012-08-24,2013-05-18,2023-05-24 08:34:36,False
43,216,1,82,169,2013/2014,True,False,False,2013-08-09,2014-05-10,2023-05-24 08:34:36,False
44,1581,1,384,169,2012/2013,True,False,False,2012-08-25,2013-05-19,2023-11-30 13:58:01,False
45,1582,1,384,169,2013/2014,True,False,False,2013-08-24,2014-05-18,2023-11-30 13:58:02,False
46,2059,1,564,169,2012/2013,True,False,False,2012-08-18,2013-06-01,2023-11-30 14:02:22,False
47,2060,1,564,169,2013/2014,True,False,False,2013-08-17,2014-05-18,2023-11-30 14:02:22,False
