,id,starting_at,ending_at,teams
0,19734,2022-08-05,2023-05-28,"[78, 11, 8, 19, 42, 29, 71, 51, 14, 236, 52, 20, 63, 13, 9, 1, 65, 18, 15, 6]"
1,19744,2022-08-05,2023-05-27,"[3317, 1079, 510, 3321, 3543, 68, 82, 3320, 67, 277, 90, 683, 3319, 999, 2726, 366, 794, 503]"
2,19799,2022-08-12,2023-06-04,"[3477, 3468, 485, 36, 1099, 361, 6827, 645, 231, 676, 83, 594, 214, 7980, 618, 106, 13258, 528, 459, 377]"
3,19806,2022-08-13,2023-06-11,"[10722, 2930, 397, 522, 1123, 625, 345, 1628, 708, 346, 7743, 113, 109, 43, 37, 613, 7790, 8513, 2714, 597]"
4,21646,2023-08-11,2024-05-19,"[78, 11, 8, 19, 29, 115, 51, 21, 14, 236, 52, 20, 63, 13, 9, 1, 18, 15, 6, 27]"
5,21694,2023-08-11,2024-05-26,"[377, 3477, 3468, 103, 485, 2921, 36, 6827, 645, 231, 676, 83, 2975, 594, 214, 7980, 618, 106, 13258, 459]"
6,21795,2023-08-18,2024-05-18,"[1079, 510, 3321, 3543, 68, 82, 3320, 277, 90, 683, 3319, 2831, 999, 2726, 482, 366, 794, 503]"
7,21818,2023-08-19,2024-06-02,"[1628, 708, 346, 7743, 113, 102, 109, 43, 37, 4070, 613, 7790, 8513, 2714, 597, 2930, 397, 1123, 625, 585]"
8,17361,2020-09-18,2021-05-22,"[3317, 1079, 510, 3321, 3543, 68, 82, 2927, 3320, 67, 277, 90, 683, 3319, 2726, 366, 794, 503]"
9,17420,2020-09-12,2021-05-23,"[78, 11, 8, 19, 42, 29, 71, 51, 21, 14, 20, 13, 10, 9, 1, 65, 18, 15, 6, 27]"
10,17480,2020-09-12,2021-05-23,"[3477, 3468, 103, 485, 36, 3457, 1099, 60, 361, 6827, 676, 83, 2975, 594, 214, 7980, 106, 13258, 459, 274]"
11,17488,2020-09-19,2021-05-23,"[2930, 563, 522, 1123, 625, 585, 345, 89, 708, 346, 113, 102, 109, 43, 37, 613, 8513, 2714, 597, 398]"
12,18378,2021-08-13,2022-05-22,"[78, 8, 19, 42, 25, 29, 71, 51, 14, 236, 20, 33, 13, 9, 1, 65, 18, 15, 6, 27]"
13,18444,2021-08-13,2022-05-14,"[3317, 1079, 510, 3321, 3543, 68, 2927, 3431, 3320, 277, 90, 683, 3319, 999, 2726, 366, 794, 503]"
14,18462,2021-08-13,2022-05-22,"[377, 3477, 3468, 103, 485, 36, 3457, 1099, 6827, 645, 676, 83, 2975, 594, 214, 7980, 106, 13258, 528, 459]"
15,18576,2021-08-21,2022-05-22,"[2930, 397, 522, 1123, 625, 585, 345, 708, 346, 7743, 267, 113, 102, 109, 43, 37, 613, 8513, 2714, 597]"
16,12962,2018-08-10,2019-05-12,"[78, 11, 8, 19, 42, 69, 25, 29, 51, 14, 52, 20, 13, 9, 251, 1, 65, 18, 6, 27]"
17,13005,2018-08-24,2019-05-18,"[510, 3321, 3543, 68, 82, 67, 277, 90, 1092, 683, 3319, 956, 2554, 2726, 366, 794, 503, 3317]"
18,13133,2018-08-17,2019-05-19,"[3477, 3468, 485, 36, 3457, 60, 361, 231, 676, 83, 2975, 594, 214, 7980, 844, 106, 13258, 528, 274, 377]"
19,13158,2018-08-18,2019-05-26,"[708, 346, 394, 113, 102, 97, 109, 43, 37, 4070, 613, 8513, 2714, 597, 398, 2930, 397, 522, 625, 585]"
20,16036,2019-08-09,2020-07-26,"[78, 8, 19, 42, 25, 29, 51, 21, 14, 52, 20, 33, 13, 9, 1, 65, 18, 15, 6, 27]"
21,16264,2019-08-16,2020-06-27,"[3317, 1079, 510, 3321, 3543, 68, 82, 3320, 67, 277, 90, 1092, 683, 2642, 2726, 366, 794, 503]"
22,16326,2019-08-16,2020-07-19,"[3477, 3468, 103, 485, 36, 3457, 60, 361, 645, 676, 83, 2975, 594, 214, 7980, 844, 106, 13258, 528, 459]"
23,16415,2019-08-24,2020-08-02,"[708, 346, 10729, 394, 113, 102, 109, 43, 37, 613, 7790, 8513, 2714, 597, 398, 2930, 522, 1123, 625, 585]"
24,13,2016-08-13,2017-05-21,"[8, 19, 42, 25, 30, 51, 14, 3, 52, 22, 13, 10, 9, 7, 1, 65, 18, 6, 26, 27]"
25,219,2016-08-26,2017-05-20,"[2726, 482, 366, 794, 503, 2708, 3317, 573, 510, 3321, 3543, 68, 82, 3320, 67, 277, 90, 683]"
26,802,2016-08-20,2017-05-28,"[89, 708, 346, 1216, 113, 102, 97, 109, 43, 37, 613, 1343, 8513, 2714, 597, 2930, 397, 522, 625, 585]"
27,853,2016-08-19,2017-05-21,"[126, 3477, 3468, 103, 485, 344, 429, 2921, 36, 60, 676, 83, 2975, 594, 214, 7980, 844, 13258, 528, 459]"
28,6397,2017-08-11,2018-05-13,"[78, 8, 19, 42, 25, 30, 51, 14, 52, 20, 13, 10, 9, 251, 1, 65, 18, 6, 26, 27]"
29,8026,2017-08-18,2018-05-12,"[510, 3321, 3543, 68, 82, 3320, 67, 277, 90, 683, 3319, 2554, 2726, 366, 794, 503, 2708, 3317]"
