id,name,code,developer_name,model_type,stat_group
1,1st Half,1st-half,1ST_HALF,period,
2,2nd Half,2nd-half,2ND_HALF,period,
3,Extra Time,extra-time,ET,period,
5,Penalties,penalties,PENALTY_SHOOTOUT,period,
6,Referee,referee,REFEREE,referee,
7,1st Assistant,1st_assistant,REFEREE_TWO,referee,
8,2nd Assistant,2nd_assistant,REFEREE_THREE,referee,
9,4th Official,4th_official,REFEREE_FOUR,referee,
10,VAR,VAR,VAR,event,
11,Lineup,lineup,LINEUP,lineup,
12,Bench,bench,BENCH,lineup,
13,Sidelined,sidelined,SIDELINED,lineup,
14,Goal,goal,GOAL,event,
15,Own Goal,owngoal,OWNGOAL,event,
16,Penalty,penalty,PENALTY,event,
17,Missed Penalty,missed_penalty,MISSED_PENALTY,event,
18,Substitution,substitution,SUBSTITUTION,event,
19,Yellowcard,yellowcard,YELLOWCARD,event,
20,Redcard,redcard,REDCARD,event,
21,Yellow/Red card,yellowredcard,YELLOWREDCARD,event,
22,Penalty Shootout Missed,pen_shootout_miss,PENALTY_SHOOTOUT_MISS,event,
23,Penalty Shootout Goal,pen_shootout_goal,PENALTY_SHOOTOUT_GOAL,event,
24,Goalkeeper,goalkeeper,GOALKEEPER,position,
25,Defender,defender,DEFENDER,position,
26,Midfielder,midfielder,MIDFIELDER,position,
