,id,type_id,sub_type_id,fixture_id,player_id,related_player_id,period_id,participant_id,addition,minute,sort_order,Unnamed: 0
1055,86885139,10,,11344409,827.0,,3239207,43,,16,1,1055
1056,86885147,10,,11344409,132577.0,,435544,43,,48,1,1056
75,88033873,10,,11867440,53.0,,3370695,13,,5,1,75
77,88033881,10,,11867440,5141.0,,3370696,13,Goal Disallowed,78,1,77
81,88033803,10,,11867447,61780.0,,3370710,78,,47,1,81
86,88033815,10,,11867447,95776.0,,3370710,78,,90,1,86
88,88033765,10,,11867456,3298.0,,3370728,78,Goal Confirmed,82,1,88
90,88033769,10,,11867456,3298.0,,3370728,78,,90,1,90
92,88033587,10,,11867475,,,3370767,78,,79,1,92
100,88033422,10,,11867493,3262.0,,3370803,21,,85,1,100
160,88033820,10,,11867444,1461.0,,3370703,8,Goal Confirmed,38,1,160
164,88033787,10,,11867449,1461.0,,3370713,8,Goal Disallowed,25,1,164
167,88033680,10,,11867461,323.0,,3370737,8,Goal Confirmed,8,1,167
171,88033895,10,,11867405,1472.0,,3370625,8,,34,1,171
173,88033550,10,,11867470,323.0,,3370756,8,,31,1,173
174,88033552,10,,11867470,4125.0,,3370757,8,,55,1,174
177,86460768,10,,12014037,9367.0,,3592360,154,Goal Disallowed,59,1,177
182,88033503,10,,11867482,1389.0,,3370781,8,Goal Confirmed,78,1,182
301,86464593,10,,11984671,95334.0,,3561276,19,,75,1,301
304,86464598,10,,11984671,155323.0,,3561276,71,,87,1,304
307,88033849,10,,11867439,31739.0,,3370694,19,,65,1,307
315,88033829,10,,11867446,96656.0,,3370708,19,,69,1,315
320,88012058,10,,11997508,539961.0,,3576486,19,Goal Confirmed,27,1,320
322,88012060,10,,11997508,338951.0,,3576487,52,,54,1,322
324,88012069,10,,11997508,332147.0,,3576487,52,Goal Confirmed,90,1,324
332,88033448,10,,11867486,5141.0,,3370788,13,Goal Confirmed,2,1,332
341,88033293,10,,11867506,95334.0,,3370829,19,,67,1,341
342,88033296,10,,11867506,95334.0,,3370829,19,,78,1,342
415,86464673,10,,11984652,11541.0,,3561238,17,Goal Disallowed,74,1,415
420,88033857,10,,11867441,61654.0,,3370697,42,Goal Confirmed,15,1,420
422,88033860,10,,11867441,1182.0,,3370697,42,,32,1,422
423,88033862,10,,11867441,722.0,,3370698,65,,63,1,423
424,88033864,10,,11867441,1488.0,,3370698,42,,67,1,424
427,88033871,10,,11867441,612.0,,3370698,42,Goal Disallowed,90,1,427
430,88033695,10,,11867459,25499.0,,3370734,1,,49,1,430
439,88033630,10,,11867469,3139.0,,3370754,18,,20,1,439
441,88033435,10,,11867485,95348.0,,3370786,29,Goal Disallowed,45,1,441
445,88033439,10,,11867485,6838.0,,3370787,42,,60,1,445
448,88033388,10,,11867490,4842.0,,3370797,9,,61,1,448
449,88033392,10,,11867490,5329.0,,3370797,9,Goal Confirmed,81,1,449
450,88033302,10,,11867502,1488.0,,3370821,42,Goal Disallowed,50,1,450
459,88033239,10,,11867510,10601.0,,3370837,42,,61,1,459
563,88033722,10,,11867454,2144.0,,3370724,25,,60,1,563
564,88033723,10,,11867454,941.0,,3370724,6,,64,1,564
566,88033726,10,,11867454,1057.0,,3370724,25,,70,1,566
577,88033591,10,,11867474,95368.0,,3370764,13,,36,1,577
578,88033592,10,,11867474,4764.0,,3370764,25,,40,1,578
579,88033598,10,,11867474,,,3370765,13,,59,1,579
585,88033424,10,,11867492,1250.0,,3370801,25,Goal Disallowed,53,1,585
587,88033249,10,,11867509,1038.0,,3370834,51,Goal Confirmed,30,1,587
590,88033252,10,,11867509,1276.0,,3370835,25,,49,1,590
690,86464566,10,,11984655,5149.0,,3561243,14,,31,1,690
692,86464574,10,,11984655,3884.0,,3561244,29,,77,1,692
696,88033835,10,,11867445,496775.0,,3370705,29,,13,1,696
700,88012111,10,,11997341,496775.0,,3576251,29,Goal Disallowed,11,1,700
706,88033732,10,,11867453,496775.0,,3370722,29,Goal Confirmed,54,1,706
708,88033734,10,,11867453,186426.0,,3370722,29,,63,1,708
709,88033739,10,,11867453,160217.0,,3370722,29,Goal Confirmed,77,1,709
711,88033680,10,,11867461,323.0,,3370737,8,Goal Confirmed,8,1,711
719,88033435,10,,11867485,95348.0,,3370786,29,Goal Disallowed,45,1,719
723,88033439,10,,11867485,6838.0,,3370787,42,,60,1,723
726,88033372,10,,11867495,159917.0,,3370806,29,Goal Confirmed,31,1,726
731,88033382,10,,11867495,7958.0,,3370807,33,,78,1,731
832,86464581,10,,11984668,5371.0,,3561270,51,,65,1,832
836,88033849,10,,11867439,31739.0,,3370694,19,,65,1,836
842,88033751,10,,11867450,1108.0,,3370715,51,,17,1,842
845,88033756,10,,11867450,160956.0,,3370716,9,,72,1,845
853,88033618,10,,11867468,1384.0,,3370752,21,,31,1,853
855,88033624,10,,11867468,692.0,,3370753,51,,73,1,855
869,88033249,10,,11867509,1038.0,,3370834,51,Goal Confirmed,30,1,869
872,88033252,10,,11867509,1276.0,,3370835,25,,49,1,872
954,88033818,10,,11867443,870.0,,3370702,1,Goal Disallowed,90,1,954
958,88033829,10,,11867446,96656.0,,3370708,19,,69,1,958
972,88033618,10,,11867468,1384.0,,3370752,21,,31,1,972
974,88033624,10,,11867468,692.0,,3370753,51,,73,1,974
982,88033422,10,,11867493,3262.0,,3370803,21,,85,1,982
1088,86464566,10,,11984655,5149.0,,3561243,14,,31,1,1088
1090,86464574,10,,11984655,3884.0,,3561244,29,,77,1,1090
1099,88033845,10,,11867442,581086.0,,3370700,33,,84,1,1099
1100,88012111,10,,11997341,496775.0,,3576251,29,Goal Disallowed,11,1,1100
1107,88033787,10,,11867449,1461.0,,3370713,8,Goal Disallowed,25,1,1107
1112,88033676,10,,11867462,3300.0,,3370740,27,,68,1,1112
1113,88033679,10,,11867462,955.0,,3370740,14,,90,1,1113
1119,88014287,10,,11989932,,,3567416,9,,84,1,1119
1129,88033520,10,,11867479,1316.0,,3370775,18,Goal Disallowed,56,1,1129
1134,88033527,10,,11867479,798.0,,3370775,18,Goal Disallowed,77,1,1134
1136,88033424,10,,11867492,1250.0,,3370801,25,Goal Disallowed,53,1,1136
1140,88033349,10,,11867499,1706.0,,3370814,13,,41,1,1140
1146,88033360,10,,11867499,5141.0,,3370815,13,Goal Disallowed,90,1,1146
1154,88033212,10,,11867512,,,3370841,9,,48,1,1154
1256,88033771,10,,11867452,33793.0,,3370719,33,,31,1,1256
1258,88033775,10,,11867452,7958.0,,3370720,33,,75,1,1258
1263,88033765,10,,11867456,3298.0,,3370728,78,Goal Confirmed,82,1,1263
1265,88033769,10,,11867456,3298.0,,3370728,78,,90,1,1265
1266,88012058,10,,11997508,539961.0,,3576486,19,Goal Confirmed,27,1,1266
1268,88012060,10,,11997508,338951.0,,3576487,52,,54,1,1268
1270,88012069,10,,11997508,332147.0,,3576487,52,Goal Confirmed,90,1,1270
1277,88033656,10,,11867466,1869.0,,3370748,52,Goal Confirmed,45,1,1277
1284,88033400,10,,11867487,6087.0,,3370790,52,Goal Disallowed,22,1,1284
1286,88033403,10,,11867487,1148.0,,3370791,27,,59,1,1286
1295,88033362,10,,11867496,1029.0,,3370809,52,Goal Confirmed,58,1,1295
1373,88033835,10,,11867445,496775.0,,3370705,29,,13,1,1373
