,id,country_id,city_id,name,address,zipcode,latitude,longitude,capacity,image_path,city_name,surface,national_team,season_id
0,5,462.0,9576.0,Villa Park,"Trinity Road, Birmingham B6 6HE",,52.509167,-1.884722,42640.0,https://cdn.sportmonks.com/images/core/venues/5/5.png,Birmingham,grass,False,19734
1,12,462.0,51090.0,Goodison Park,Goodison Road,L4 4EL,53.43881,-2.96625,39571.0,https://cdn.sportmonks.com/images/core/venues/12/12.png,Liverpool,grass,False,19734
2,117,462.0,49478.0,King Power Stadium,Filbert Way,,52.748842,-1.180278,32312.0,https://cdn.sportmonks.com/images/soccer/venues/21/117.png,Leicester,grass,False,19734
3,146,462.0,11311.0,Vitality Stadium,"Dean Court, Kings Park",,50.7352,-1.83833,11700.0,https://cdn.sportmonks.com/images/soccer/venues/18/146.png,Bournemouth,grass,False,19734
4,151,462.0,53964.0,Etihad Stadium,Etihad Campus Manchester M11 3FF,,53.483056,-2.200278,53400.0,https://cdn.sportmonks.com/images/soccer/venues/23/151.png,Manchester,grass,False,19734
5,167,462.0,85225.0,St. Mary's Stadium,Britannia Road,,50.903496386,-1.387998448,32384.0,https://cdn.sportmonks.com/images/soccer/venues/7/167.png,Southampton,grass,False,19734
6,201,462.0,51663.0,Selhurst Park,Holmesdale Road,,51.419728,-0.502059,25073.0,https://cdn.sportmonks.com/images/soccer/venues/9/201.png,London,grass,False,19734
7,204,462.0,51663.0,Emirates Stadium,"Arsenal Football Club Highbury House 75 Drayton Park London, N5 1BU",,51.556667,-0.106111,60260.0,https://cdn.sportmonks.com/images/soccer/venues/12/204.png,London,grass,False,19734
8,206,462.0,53964.0,Old Trafford,Sir Matt Busby Way,,53.463056,-2.291389,74879.0,https://cdn.sportmonks.com/images/soccer/venues/14/206.png,Manchester,grass,False,19734
9,214,462.0,51663.0,London Stadium,"Marshgate Lane, Stratford",,51.538611,-0.016389,60000.0,https://cdn.sportmonks.com/images/soccer/venues/22/214.png,London,grass,False,19734
10,230,462.0,51090.0,Anfield,Anfield Road,,53.430833,-2.960833,60000.0,https://cdn.sportmonks.com/images/soccer/venues/6/230.png,Liverpool,grass,False,19734
11,449,462.0,62163.0,St. James' Park,St. James' Street,,55.009300,-1.564070,3500.0,https://cdn.sportmonks.com/images/soccer/venues/1/449.png,Newcastle upon Tyne,grass,False,19734
12,480,462.0,28137.0,The American Express Community Stadium,Village Way,,50.861822,-0.083278,30750.0,https://cdn.sportmonks.com/images/soccer/venues/0/480.png,Falmer,grass,False,19734
13,485,462.0,51663.0,Craven Cottage,Stevenage Road,,51.475,-0.221667,24500.0,https://cdn.sportmonks.com/images/soccer/venues/5/485.png,London,grass,False,19734
14,488,462.0,49373.0,Elland Road,Elland Road,,53.777778,-1.572222,40242.0,https://cdn.sportmonks.com/images/soccer/venues/8/488.png,Leeds,grass,False,19734
15,492,462.0,99578.0,Molineux Stadium,Waterloo Road,,52.590195,-2.131226,30852.0,https://cdn.sportmonks.com/images/soccer/venues/12/492.png,Wolverhampton,grass,False,19734
16,542,462.0,63537.0,The City Ground,Pavilion Road,,52.940000,-1.132778,30445.0,https://cdn.sportmonks.com/images/soccer/venues/30/542.png,Nottingham,grass,False,19734
17,4977,224.0,87825.0,Stadion Chavdar Tsvetkov,,,42.9605002,23.3456154,3500.0,,Svoge,grass,False,19734
