,fixture_id,pitch,weatherDescription,current
0,2263,NaN,NaN,NaN
1,2344,NaN,NaN,NaN
2,1072384,NaN,NaN,NaN
3,2382,NaN,NaN,NaN
4,2545,NaN,NaN,NaN
5,2578,NaN,NaN,NaN
6,1071383,NaN,NaN,NaN
7,2710,NaN,NaN,NaN
8,2809,NaN,NaN,NaN
9,3004,NaN,NaN,NaN
10,3085,NaN,NaN,NaN
11,1071230,NaN,NaN,NaN
12,3183,NaN,NaN,NaN
13,4453,NaN,NaN,NaN
14,4612,NaN,NaN,NaN
15,4885,NaN,NaN,NaN
16,1070921,NaN,NaN,NaN
17,5258,NaN,NaN,NaN
18,5389,NaN,NaN,NaN
19,5422,NaN,NaN,NaN
20,5603,NaN,NaN,NaN
21,5704,NaN,NaN,NaN
22,5799,NaN,NaN,NaN
23,5863,NaN,NaN,NaN
24,1069907,NaN,NaN,NaN
25,1070901,NaN,NaN,NaN
26,6039,NaN,NaN,NaN
27,1069607,NaN,NaN,NaN
28,6049,NaN,NaN,NaN
29,1070911,NaN,NaN,NaN
30,1069374,NaN,NaN,NaN
31,6225,NaN,NaN,NaN
32,6304,NaN,NaN,NaN
33,6442,NaN,NaN,NaN
34,6563,NaN,NaN,NaN
36,2353,NaN,NaN,NaN
37,2438,NaN,NaN,NaN
38,2496,NaN,NaN,NaN
39,2589,NaN,NaN,NaN
40,1071301,NaN,NaN,NaN
41,2767,NaN,NaN,NaN
42,2895,NaN,NaN,NaN
43,2928,NaN,NaN,NaN
44,3023,NaN,NaN,NaN
45,1071218,NaN,NaN,NaN
46,3119,NaN,NaN,NaN
47,4403,NaN,NaN,NaN
48,4533,NaN,NaN,NaN
49,5003,NaN,NaN,NaN
50,1071122,NaN,NaN,NaN
51,5249,NaN,NaN,NaN
52,5301,NaN,NaN,NaN
53,5412,NaN,NaN,NaN
54,5583,NaN,NaN,NaN
55,5627,NaN,NaN,NaN
56,5820,NaN,NaN,NaN
57,5898,NaN,NaN,NaN
58,1069885,NaN,NaN,NaN
