,0
Unnamed: 0,8
id,17361
starting_at,2020-09-18
ending_at,2021-05-22
name,2020/2021
teams,"[3317, 1079, 510, 3321, 3543, 68, 82, 2927, 3320, 67, 277, 90, 683, 3319, 2726, 366, 794, 503]"
Unnamed: 0,9
id,17420
starting_at,2020-09-12
ending_at,2021-05-23
name,2020/2021
teams,"[78, 11, 8, 19, 42, 29, 71, 51, 21, 14, 20, 13, 10, 9, 1, 65, 18, 15, 6, 27]"
Unnamed: 0,10
id,17480
starting_at,2020-09-12
ending_at,2021-05-23
name,2020/2021
teams,"[3477, 3468, 103, 485, 36, 3457, 1099, 60, 361, 6827, 676, 83, 2975, 594, 214, 7980, 106, 13258, 459, 274]"
Unnamed: 0,11
id,17488
starting_at,2020-09-19
ending_at,2021-05-23
name,2020/2021
teams,"[2930, 563, 522, 1123, 625, 585, 345, 89, 708, 346, 113, 102, 109, 43, 37, 613, 8513, 2714, 597, 398]"
